ts_code,trade_date,open,high,low,close,vol,amount
510500.SH,2024-11-27,5.782,5.907,5.7,5.896,3402143.03,1974646.675
510500.SH,2024-11-28,5.889,5.918,5.839,5.858,2622950.44,1542257.518
510500.SH,2024-11-29,5.853,6.003,5.831,5.944,4044346.11,2400334.45
510500.SH,2024-12-02,5.946,6.062,5.939,6.036,3653448.38,2198082.089
510500.SH,2024-12-03,6.038,6.058,5.977,6.026,2970410.58,1786279.165
510500.SH,2024-12-04,6.02,6.042,5.948,5.981,2643418.26,1582832.037
510500.SH,2024-12-05,5.965,6.022,5.948,5.998,1955046.75,1170127.566
510500.SH,2024-12-06,5.996,6.118,5.968,6.076,5358862.13,3246628.869
510500.SH,2024-12-09,6.075,6.098,6.004,6.043,4031534.05,2440193.6
510500.SH,2024-12-10,6.28,6.283,6.077,6.095,5552326.38,3428981.363
510500.SH,2024-12-11,6.081,6.153,6.078,6.141,5613923.21,3442316.136
510500.SH,2024-12-12,6.14,6.216,6.123,6.197,4293466.52,2651723.763
510500.SH,2024-12-13,6.138,6.161,6.08,6.099,7779195.98,4752739.365
510500.SH,2024-12-16,6.09,6.097,5.986,6.005,4533264.26,2728886.124
510500.SH,2024-12-17,6.001,6.018,5.932,5.941,4412301.1,2629190.849
510500.SH,2024-12-18,5.955,6.018,5.94,5.979,2669873.95,1596610.199
510500.SH,2024-12-19,5.931,6.016,5.907,5.997,3254784.48,1940603.791
510500.SH,2024-12-20,5.987,6.05,5.979,6.009,4144642.59,2494039.595
510500.SH,2024-12-23,6.01,6.025,5.911,5.915,4681948.97,2789552.324
510500.SH,2024-12-24,5.916,5.991,5.915,5.982,4469853.55,2660178.402
510500.SH,2024-12-25,5.983,5.983,5.884,5.932,4826392.95,2862134.19
510500.SH,2024-12-26,5.932,5.988,5.927,5.977,2742466.05,1637401.616
510500.SH,2024-12-27,5.967,6.075,5.967,5.991,3076206.21,1851891.986
510500.SH,2024-12-30,5.988,6.021,5.958,5.989,1887245.43,1131333.792
510500.SH,2024-12-31,5.989,5.999,5.808,5.811,7477379.23,4398943.159
