ts_code,name,call_put,exercise_price,list_date,delist_date,trade_date,exchange,pre_settle,pre_close,open,high,low,close,settle,vol,amount,oi,expire_date,days_to_expire,price_diff
10007694.SH,南方中证500ETF期权2503认购5.903,C,5.903,20240801,20250326,2024-11-18,SSE,0.3268,0.3268,0.328,0.3409,0.2758,0.2873,0.2873,4552.0,1401.293,8129.0,2025-03-26,128,0.02800000000000047
10008302.SH,南方中证500ETF期权2506认购5.903,C,5.903,20241024,20250625,2024-11-18,SSE,0.4117,0.4117,0.4066,0.4193,0.3655,0.3705,0.3803,591.0,232.5237,1161.0,2025-06-25,219,0.02800000000000047
10007976.SH,南方中证500ETF期权2411认购6.00,C,6.0,20240927,20241127,2024-11-19,SSE,0.0707,0.0707,0.0737,0.1106,0.055,0.0981,0.0981,308608.0,24938.3664,61063.0,2024-11-27,8,0.02400000000000002
10007321.SH,南方中证500ETF期权2412认购6.00,C,6.0,20240517,20241225,2024-11-19,SSE,0.165,0.165,0.1674,0.206,0.1525,0.199,0.199,24567.0,4400.4951,19971.0,2024-12-25,36,0.02400000000000002
10007694.SH,南方中证500ETF期权2503认购5.903,C,5.903,20240801,20250326,2024-11-19,SSE,0.2873,0.2873,0.308,0.3402,0.2822,0.3371,0.3371,2325.0,734.9134,8382.0,2025-03-26,127,0.12100000000000044
10008302.SH,南方中证500ETF期权2506认购5.903,C,5.903,20241024,20250625,2024-11-19,SSE,0.3803,0.3705,0.3993,0.4306,0.3754,0.4246,0.4246,696.0,271.9744,1302.0,2025-06-25,218,0.12100000000000044
10007976.SH,南方中证500ETF期权2411认购6.00,C,6.0,20240927,20241127,2024-11-20,SSE,0.0981,0.0981,0.0919,0.1435,0.0884,0.117,0.117,265400.0,29738.8385,55534.0,2024-11-27,7,0.08499999999999996
10007183.SH,南方中证500ETF期权2412认购6.152,C,6.152,20240425,20241225,2024-11-20,SSE,0.1399,0.1399,0.1331,0.1618,0.1284,0.144,0.144,2014.0,297.454828,7192.0,2024-12-25,35,0.06700000000000017
10008027.SH,南方中证500ETF期权2503认购6.149,C,6.149,20240930,20250326,2024-11-20,SSE,0.2418,0.2418,0.2472,0.2603,0.2263,0.2458,0.2458,1514.0,368.3721,7152.0,2025-03-26,126,0.06400000000000006
10008303.SH,南方中证500ETF期权2506认购6.149,C,6.149,20241024,20250625,2024-11-20,SSE,0.3311,0.3319,0.3407,0.348,0.316,0.3382,0.3346,313.0,102.7816,1409.0,2025-06-25,217,0.06400000000000006
10007976.SH,南方中证500ETF期权2411认购6.00,C,6.0,20240927,20241127,2024-11-21,SSE,0.117,0.117,0.1124,0.12,0.0749,0.0989,0.0989,205940.0,21039.6383,53178.0,2024-11-27,6,0.08000000000000007
10007183.SH,南方中证500ETF期权2412认购6.152,C,6.152,20240425,20241225,2024-11-21,SSE,0.144,0.144,0.1398,0.1442,0.113,0.129,0.1298,2060.0,276.271126,7302.0,2024-12-25,34,0.07200000000000006
10008027.SH,南方中证500ETF期权2503认购6.149,C,6.149,20240930,20250326,2024-11-21,SSE,0.2458,0.2458,0.2552,0.2552,0.2132,0.23,0.23,1480.0,337.2595,7532.0,2025-03-26,125,0.06899999999999995
10008303.SH,南方中证500ETF期权2506认购6.149,C,6.149,20241024,20250625,2024-11-21,SSE,0.3346,0.3382,0.3517,0.3517,0.31,0.3149,0.3227,231.0,73.8752,1392.0,2025-06-25,216,0.06899999999999995
10007975.SH,南方中证500ETF期权2411认购5.75,C,5.75,20240927,20241127,2024-11-22,SSE,0.33,0.3058,0.3011,0.3075,0.1094,0.1136,0.1136,70299.0,13831.3425,23660.0,2024-11-27,5,0.08999999999999986
10007182.SH,南方中证500ETF期权2412认购5.906,C,5.906,20240425,20241225,2024-11-22,SSE,0.2522,0.2522,0.2472,0.2519,0.133,0.1339,0.1339,2429.0,443.545366,7029.0,2024-12-25,33,0.06599999999999984
10007694.SH,南方中证500ETF期权2503认购5.903,C,5.903,20240801,20250326,2024-11-22,SSE,0.3286,0.3286,0.3405,0.3405,0.2333,0.2366,0.234,2626.0,718.5527,9383.0,2025-03-26,124,0.06299999999999972
10008302.SH,南方中证500ETF期权2506认购5.903,C,5.903,20241024,20250625,2024-11-22,SSE,0.422,0.4148,0.433,0.433,0.3279,0.3279,0.3279,129.0,48.961,1386.0,2025-06-25,215,0.06299999999999972
