ts_code,name,opt_code,opt_type,call_put,exercise_price,maturity_date,list_date,delist_date
10009132.SH,易方达上证科创板50ETF期权2505认沽0.85,OP588080.SH,ETF期权,P,0.85,20250528,20250327,20250528
10005848.SH,易方达上证科创板50ETF期权2403认沽0.90,OP588080.SH,ETF期权,P,0.9,20240327,20230727,20240327
10007408.SH,易方达上证科创板50ETF期权2407认购0.70,OP588080.SH,ETF期权,C,0.7,20240724,20240523,20240724
10006632.SH,易方达上证科创板50ETF期权2406认沽0.55,OP588080.SH,ETF期权,P,0.55,20240626,20240118,20240626
10006991.SH,易方达上证科创板50ETF期权2404认购0.80,OP588080.SH,ETF期权,C,0.8,20240424,20240229,20240424
10006251.SH,易方达上证科创板50ETF期权2406认沽0.80,OP588080.SH,ETF期权,P,0.8,20240626,20231026,20240626
10009014.SH,易方达上证科创板50ETF期权2504认沽1.05,OP588080.SH,ETF期权,P,1.05,20250423,20250227,20250423
10007682.SH,易方达上证科创板50ETF期权2503认沽0.85,OP588080.SH,ETF期权,P,0.85,20250326,20240725,20250326
10008646.SH,易方达上证科创板50ETF期权2502认购0.90,OP588080.SH,ETF期权,C,0.9,20250226,20241226,20250226
10005995.SH,易方达上证科创板50ETF期权2310认沽0.75,OP588080.SH,ETF期权,P,0.75,20231025,20230824,20231025
